,title,Directed_by,Written_by,Produced_by,Starring,Cinematography,Edited_by,Music_by,Production_companies,Distributed_by,Country,Language,Running_time,Budget,Box_office,Release_dates (datetime),imdb,imdb_new,metascore,rotten_tomatoes
150,Priscilla,Sofia Coppola,,"['Sofia Coppola', 'Youree Henley', 'Lorenzo Mieli']","['Cailee Spaeny', 'Jacob Elordi']",Philippe Le Sourd,Sarah Flack,,"['Stage 6 Films', 'The Apartment Pictures', 'American Zoetrope']","['A24 (United States)', 'Vision Distribution (Italy)', 'Sony Pictures Releasing International', 'Stage 6 Films (International)']",United States,English,,,,,8.4,84.0,,
76,1%,Stephen McCallum,Matt Nable,"['Jamie Hilton', 'Michael Pontin']","['Ryan Corr', 'Abbey Lee', 'Simone Kessell', 'Josh McConville', 'Matt Nable', 'Aaron Pedersen']",Shelley Farthing-Dawe,Veronika Jenet,Chris Cobilis,"['Head Gear Films', 'Screen Australia', 'See Pictures', 'Ticket to Ride', 'Metrol Technology']",Icon - Dendy,Australia,English,92,,,9/9/17,8.2,82.0,69.0,85.00%
26,Room,Lenny Abrahamson,,"['Ed Guiney', 'David Gross']","['Brie Larson', 'Jacob Tremblay', 'Joan Allen', 'Sean Bridgers', 'Tom McCamus', 'William H. Macy']",Danny Cohen,Nathan Nugent,Stephen Rennicks,"['Filmnation Entertainment', 'Telefilm Canada', 'Film4', 'Bórd Scannán na hÉireann/Irish Film Board', 'Ontario Media Development Corporation', 'Element Pictures', 'No Trace Camping', 'Duperele Films']","['Elevation Pictures (Canada)', 'StudioCanal (United Kingdom and Ireland)', 'A24 (United States)']",,English,118,13000000,36300000,9/4/15,8.1,81.0,86.0,93.00%
131,The Whale,Darren Aronofsky,,"['Jeremy Dawson', 'Ari Handel', 'Darren Aronofsky']","['Brendan Fraser', 'Sadie Sink', 'Hong Chau', 'Ty Simpkins', 'Samantha Morton']",Matthew Libatique,Andrew Weisblum,Rob Simonsen,,A24,United States,English,117,3000000,17200000,9/4/22,8.1,81.0,60.0,66.00%
115,Everything Everywhere All at Once,"['Daniel Kwan', 'Daniel Scheinert']","['Daniel Kwan', 'Daniel Scheinert']","['Anthony Russo Joe Russo', 'Mike Larocca', 'Daniel Kwan', 'Daniel Scheinert', 'Jonathan Wang', 'Peter Tam Lee']","['Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan', 'Jenny Slate', 'Harry Shum Jr.', 'James Hong', 'Jamie Lee Curtis']",Larkin Seiple,Paul Rogers,Son Lux,"['IAC Films', 'Gozie AGBO', 'Year of the Rat', 'Ley Line Entertainment']",A24,United States,,139,14300000,106500000,3/11/22,8.0,80.0,81.0,95.00%
118,Marcel the Shell with Shoes On,Dean Fleischer Camp,,"['Elisabeth Holm', 'Andrew Goldman', 'Caroline Kaplan', 'Paul Mezey', 'Dean Fleischer Camp', 'Jenny Slate', 'Terry Leonard']","['Jenny Slate', 'Rosa Salazar', 'Thomas Mann', 'Dean Fleischer Camp', 'Lesley Stahl', 'Isabella Rossellini']",Bianca Cline,"['Dean Fleischer Camp', 'Nick Paley']",Disasterpeace,"['Cinereach', 'You Want I Should LLC.', 'Human Woman Inc.', 'Sunbeam TV & Films', 'Chiodo Bros. Productions']",A24,United States,English,90,,6500000,9/3/21,7.9,79.0,81.0,99.00%
22,Amy,Asif Kapadia,,James Gay-Rees,Amy Winehouse,Matt Curtis,Chris King,"['Amy Winehouse', 'Antônio Pinto']","['Film4 Productions', 'Krishwerkz Entertainment', 'On The Corner Films', 'Playmaker Films', 'Universal Music']",Altitude Film Distribution,United Kingdom,English,128,3400000,23700000,,7.8,78.0,85.0,95.00%
42,Oasis: Supersonic,Mat Whitecross,,"['Asif Kapadia', 'James Gay-Rees']",Oasis,,,Oasis,"['Mint Pictures', 'Nemperor', 'On The Corner Films']","['Entertainment One', 'Lorton Distribution']",United Kingdom,English,122,,1500000,,7.8,78.0,71.0,84.00%
92,The Elephant Queen,"['Victoria Stone', 'Mark Deeble']",,Lucinda Englehart,,,,Alex Heffes,"['Mister Smith Entertainment', 'Deeble & Stone']","['A24', 'Apple TV+']",,,96,,,9/8/18,7.8,78.0,69.0,91.00%
126,Aftersun,Charlotte Wells,Charlotte Wells,"['Adele Romanski', 'Amy Jackson', 'Barry Jenkins', 'Mark Ceryak']","['Paul Mescal', 'Frankie Corio', 'Celia Rowlson-Hall']",Gregory Oke,Blair McClendon,Oliver Coates,"['BBC Film', 'British Film Institute', 'Screen Scotland', 'Tango Entertainment', 'Pastel Productions', 'Unified Theory']","['Mubi (United Kingdom)', 'A24 (United States)']",,English,101,,3800000,5/21/22,7.8,78.0,95.0,95.00%
19,Ex Machina,Alex Garland,Alex Garland,"['Andrew Macdonald', 'Allon Reich']","['Domhnall Gleeson', 'Oscar Isaac', 'Alicia Vikander', 'Sonoya Mizuno', 'Gana Bayarsaikhan', 'Corey Johnson']",Rob Hardy,Mark Day,"['Ben Salisbury', 'Geoff Barrow']","['Film4', 'DNA Films']","['A24 (United States)', 'Universal Pictures (International)']",,English,108,15000000,36900000,12/16/14,7.7,77.0,78.0,92.00%
