name,pubpriv,enrollment,allvaccs,conditional,medical,religious,dptMiss,polMiss,mmrMiss,hepMiss,varMiss
WASHINGTON ELEMENTARY,PUBLIC,116,87.06896552,12.93103448,0,0,4.310344828,3.448275862,4.310344828,0.862068966,0
ASPIRE GATEWAY ACADEMY,PUBLIC,53,100,0,0,0,0,0,0,0,0
SANTA FE CHRISTIAN SCHOOLS,PRIVATE,42,76.19047619,11.9047619,0,11.9047619,19.04761905,21.42857143,19.04761905,16.66666667,11.9047619
RIVERDALE ELEMENTARY,PUBLIC,88,97.72727273,2.272727273,0,0,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273
EL CAPITAN ELEMENTARY,PUBLIC,53,96.22641509,3.773584906,0,0,0,0,3.773584906,0,0
HOLY FAMILY,PRIVATE,35,91.42857143,8.571428571,0,0,0,2.857142857,8.571428571,0,2.857142857
LOS BERROS ELEMENTARY,PUBLIC,60,93.33333333,0,0,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667
CHOLLAS/MEAD ELEMENTARY,PUBLIC,95,100,0,0,0,0,0,0,0,0
SIERRA MADRE ELEMENTARY,PUBLIC,95,75.78947368,13.68421053,1.052631579,9.473684211,13.68421053,15.78947368,23.15789474,12.63157895,11.57894737
ENCINO CHARTER ELEMENTARY,PUBLIC,95,90.52631579,5.263157895,0,4.210526316,8.421052632,8.421052632,9.473684211,4.210526316,7.368421053
SYCAMORE RIDGE,PUBLIC,65,95.38461538,1.538461538,0,3.076923077,4.615384615,3.076923077,3.076923077,3.076923077,3.076923077
LUGO ELEMENTARY,PUBLIC,49,79.59183673,20.40816327,0,0,8.163265306,8.163265306,2.040816327,2.040816327,0
BAY PARK ELEMENTARY,PUBLIC,115,85.2173913,5.217391304,0,9.565217391,11.30434783,12.17391304,13.91304348,9.565217391,10.43478261
LA VETA ELEMENTARY,PUBLIC,97,95.87628866,2.06185567,1.030927835,1.030927835,3.092783505,2.06185567,3.092783505,2.06185567,2.06185567
ALLEN AT STEINBECK,PUBLIC,125,92.8,4,0.8,2.4,7.2,5.6,6.4,4.8,4
STONE CORRAL ELEMENTARY,PUBLIC,20,95,5,0,0,5,0,0,0,0
MEADOWS ELEMENTARY,PUBLIC,88,97.72727273,0,0,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273,2.272727273
HAYNES CHARTER FOR ENRICHED STUDIES,PUBLIC,71,87.32394366,8.450704225,0,4.225352113,9.85915493,8.450704225,9.85915493,8.450704225,11.26760563
FOOTHILL KNOLLS ELEMENTARY,PUBLIC,60,85,11.66666667,0,3.333333333,15,13.33333333,13.33333333,5,5
CYPRESS SCHOOL OF THE ARTS,PUBLIC,127,94.48818898,1.57480315,0,3.937007874,4.724409449,4.724409449,4.724409449,4.724409449,3.937007874
HEIGHTS CHRISTIAN SCHOOL - CHINO HILLS CHRISTIAN,PRIVATE,48,81.25,16.66666667,0,2.083333333,14.58333333,14.58333333,18.75,4.166666667,2.083333333
BUENA VISTA ELEMENTARY,PUBLIC,125,96.8,1.6,0,1.6,3.2,3.2,3.2,1.6,1.6
SVEN LOKRANTZ SPECIAL EDUCATION CENTER,PUBLIC,10,100,0,0,0,0,0,0,0,0
GODFREY G. BERRY ELEMENTARY,PUBLIC,71,98.5915493,1.408450704,0,0,0,0,1.408450704,0,0
TRINIDAD ELEMENTARY,PUBLIC,19,26.31578947,63.15789474,0,10.52631579,63.15789474,63.15789474,68.42105263,68.42105263,63.15789474
ST. AGNES PARISH SCHOOL,PRIVATE,20,90,10,0,0,0,5,0,0,5
ETHEL PHILLIPS ELEMENTARY,PUBLIC,89,97.75280899,2.247191011,0,0,2.247191011,2.247191011,2.247191011,0,0
PIERPONT ELEMENTARY,PUBLIC,42,71.42857143,26.19047619,0,2.380952381,9.523809524,9.523809524,9.523809524,7.142857143,2.380952381
CREATIVE DAY ACADEMY,PRIVATE,12,58.33333333,41.66666667,0,0,41.66666667,33.33333333,33.33333333,25,16.66666667
ABRAHAM LINCOLN ELEMENTARY,PUBLIC,69,86.95652174,8.695652174,0,4.347826087,8.695652174,8.695652174,10.14492754,5.797101449,4.347826087
FOREST CHARTER,PUBLIC,17,47.05882353,0,0,52.94117647,52.94117647,52.94117647,52.94117647,52.94117647,52.94117647
FERNDALE ELEMENTARY,PUBLIC,36,75,8.333333333,0,16.66666667,22.22222222,22.22222222,25,16.66666667,16.66666667
WESTPORT HEIGHTS ELEMENTARY,PUBLIC,66,92.42424242,3.03030303,0,4.545454545,7.575757576,7.575757576,6.060606061,4.545454545,4.545454545
ST. BEDE THE VENERABLE ELEMENTARY,PRIVATE,24,100,0,0,0,0,0,0,0,0
DINGEMAN ELEMENTARY,PUBLIC,123,95.93495935,0,0,4.06504065,4.06504065,4.06504065,4.06504065,4.06504065,4.06504065
ST. CHARLES BORROMEO,PRIVATE,20,100,0,0,0,0,0,0,0,0
TEMESCAL VALLEY ELEMENTARY,PUBLIC,138,91.30434783,6.52173913,0,2.173913043,8.695652174,8.695652174,7.246376812,2.898550725,2.173913043
